city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,company_size_missing,company_type_missing
city_103,0.92,Male,1,no_enrollment,2,STEM,21.0,-1,Unknown,1,36,1,1,1
city_40,0.7759999999999999,Male,0,no_enrollment,2,STEM,15.0,2,Pvt Ltd,5,47,0,0,0
city_21,0.624,Unknown,0,Full time course,2,STEM,5.0,-1,Unknown,0,83,0,1,1
city_115,0.789,Unknown,0,no_enrollment,2,Business Degree,0.0,-1,Pvt Ltd,0,52,1,1,0
city_162,0.767,Male,1,no_enrollment,3,STEM,21.0,2,Funded Startup,4,8,0,0,0
city_176,0.764,Unknown,1,Part time course,2,STEM,11.0,-1,Unknown,1,24,1,1,1
city_160,0.92,Male,1,no_enrollment,1,Unknown,5.0,2,Funded Startup,1,24,0,0,0
city_46,0.762,Male,1,no_enrollment,2,STEM,13.0,0,Pvt Ltd,5,18,1,0,0
city_103,0.92,Male,1,no_enrollment,2,STEM,7.0,2,Pvt Ltd,1,46,1,0,0
city_103,0.92,Unknown,1,no_enrollment,2,STEM,17.0,7,Pvt Ltd,5,123,0,0,0
city_21,0.624,Unknown,0,Full time course,1,Unknown,2.0,-1,Unknown,0,32,1,1,1
city_103,0.92,Male,1,no_enrollment,2,STEM,5.0,6,Pvt Ltd,1,108,0,0,0
city_61,0.913,Male,1,no_enrollment,2,STEM,21.0,5,Pvt Ltd,3,23,0,0,0
city_21,0.624,Male,0,no_enrollment,2,Unknown,2.0,-1,Unknown,0,24,0,1,1
city_21,0.624,Unknown,0,Full time course,1,Unknown,5.0,-1,Unknown,0,26,0,1,1
city_114,0.926,Male,1,no_enrollment,2,STEM,16.0,1,Pvt Ltd,5,18,0,0,0
city_103,0.92,Unknown,1,no_enrollment,2,STEM,1.0,2,Pvt Ltd,0,106,0,0,0
city_21,0.624,Unknown,1,no_enrollment,2,STEM,2.0,6,Pvt Ltd,2,7,0,0,0
city_21,0.624,Unknown,1,no_enrollment,2,STEM,7.0,7,Pvt Ltd,0,23,1,0,0
city_13,0.8270000000000001,Female,1,no_enrollment,2,Arts,4.0,-1,Unknown,1,132,1,1,1
city_159,0.843,Male,1,no_enrollment,3,STEM,11.0,3,Pvt Ltd,1,68,0,0,0
city_114,0.926,Male,1,no_enrollment,3,STEM,11.0,3,Pvt Ltd,2,50,0,0,0
city_102,0.804,Unknown,1,no_enrollment,3,STEM,10.0,-1,Unknown,1,48,0,1,1
city_40,0.7759999999999999,Male,1,no_enrollment,2,Humanities,0.0,5,Pvt Ltd,1,65,0,0,0
city_21,0.624,Unknown,1,no_enrollment,2,STEM,5.0,5,Pvt Ltd,1,13,0,0,0
city_67,0.855,Unknown,0,no_enrollment,1,Unknown,4.0,-1,Unknown,0,22,0,1,1
city_21,0.624,Unknown,1,Part time course,2,STEM,14.0,4,Pvt Ltd,1,148,1,0,0
city_103,0.92,Male,1,no_enrollment,2,Arts,5.0,-1,Unknown,2,72,0,1,1
city_100,0.887,Male,1,no_enrollment,1,Unknown,11.0,0,Pvt Ltd,1,8,1,0,0
city_21,0.624,Male,1,no_enrollment,2,STEM,18.0,2,Funded Startup,2,68,1,0,0
city_103,0.92,Male,1,no_enrollment,2,STEM,21.0,3,Pvt Ltd,3,40,0,0,0
city_103,0.92,Male,1,Part time course,2,STEM,19.0,6,Pvt Ltd,5,141,0,0,0
city_103,0.92,Female,0,Full time course,2,STEM,5.0,-1,Unknown,1,24,0,1,1
city_160,0.92,Female,1,no_enrollment,2,STEM,21.0,3,Pvt Ltd,5,82,0,0,0
city_16,0.91,Male,1,no_enrollment,2,Business Degree,12.0,6,Pvt Ltd,3,145,0,0,0
city_103,0.92,Male,1,no_enrollment,2,STEM,10.0,1,Early Stage Startup,2,206,0,0,0
city_114,0.926,Male,0,Part time course,1,Unknown,1.0,7,Other,1,152,0,0,0
city_114,0.926,Male,1,no_enrollment,4,STEM,21.0,3,Pvt Ltd,4,42,1,0,0
city_103,0.92,Unknown,0,no_enrollment,2,STEM,12.0,-1,Unknown,4,50,0,1,1
city_71,0.884,Male,0,no_enrollment,2,Unknown,3.0,-1,Unknown,0,106,0,1,1
